Timestamp,Robot X,Robot Y,Tracking Pose X,Tracking Pose Y,Heading,Velocity,Path
0.0,4.440892098500626E-16,-2.220446049250313E-16,,,90.0,,
7226.0,0.3094150617646019,0.30941506176460054,0.0,0.0,90.0,0.0," || (x-0.0) || 6 + (x-6.0) || "
7258.0,0.9881559329382916,0.9826712357040617,0.31,0.31,89.8125,0.06," || (x-0.0) || 6 + (x-6.0) || "
7307.0,1.535931859331598,1.5203756117775167,0.9850000000000001,0.9850000000000001,89.4375,18.38," || (x-0.0) || 6 + (x-6.0) || "
7361.0,2.374522893458667,2.3568784937696403,1.53,1.53,89.37500000000001,17.06," || (x-0.0) || 6 + (x-6.0) || "
7401.0,2.9880135911280816,2.9720346653988026,2.365,2.365,89.43750000000001,21.54," || (x-0.0) || 6 + (x-6.0) || "
7444.0,3.7020775674280078,3.701144318236214,2.9800000000000004,2.9800000000000004,89.9375,21.72," || (x-0.0) || 6 + (x-6.0) || "
7483.0,4.492715484592243,4.505445846645371,3.7,3.7,90.375,24.89," || (x-0.0) || 6 + (x-6.0) || "
7510.0,5.1389993229903626,5.156990715979892,4.5,4.5,90.56250000000001,27.51," || (x-0.0) || 6 + (x-6.0) || "
7544.0,5.808959101784788,5.832450995194729,5.15,5.15,90.75000000000001,29.6," || (x-0.0) || 6 + (x-6.0) || "
7584.0,6.696768400559034,6.726405079354454,5.82,5.82,90.93750000000001,30.69," || (x-0.0) || 6 + (x-6.0) || "
7638.0,8.235392783550912,7.544329971431698,6.0,6.0,91.43749999999999,32.31," || (x-0.0) || 6 + (x-6.0) || "
7778.0,11.37233061342096,10.789790421705256,7.890000000000001,7.890000000000001,92.93749999999999,34.17," || (x-0.0) || 6 + (x-6.0) || "
7840.0,13.310690246078964,12.787696742331457,11.079999999999998,11.079999999999998,94.12499999999999,35.26," || (x-0.0) || 6 + (x-6.0) || "
7898.0,15.350388222469208,13.64654853852251,12.0,12.0,94.9375,36.63," || (x-0.0) || 6 + (x-6.0) || "
7955.0,15.20145672170678,15.238557855492147,12.0,12.0,95.18749999999999,36.63," || (x-0.0) || 6 + (x-6.0) || "
8012.0,16.08613048558853,16.639307312118795,12.0,12.0,95.49999999999999,29.07," || 12 || 12 || "
8065.0,16.2622335871935,17.03368563230136,12.0,12.0,95.49999999999999,28.56," || 12 || 12 || "
8125.0,16.16459509830947,16.247867292737183,12.0,12.0,94.3125,8.31," || 12 || 12 || "
8192.0,15.967711249079338,15.426107635924192,12.0,12.0,93.9375,13.65," || 12 || 12 || "
8327.0,15.543469239861846,13.681642801163788,12.0,12.0,95.06249999999999,12.43," || 12 || 12 || "
8390.0,14.887595374438066,11.982553132169649,12.0,12.0,94.87499999999997,15.09," || 12 || 12 || "
8448.0,15.877723412488923,10.743000152009316,12.0,12.0,94.37499999999997,23.05," || 12 || 12 || "
8505.0,16.503534672429925,9.824896812650074,12.0,12.0,94.31249999999999,27.83," || 12 || 12 || "
8551.0,16.2276702884595,10.576450169100804,12.0,12.0,93.99999999999999,19.16," || 12 || 12 || "
8604.0,15.942313004102523,11.38586365649574,12.0,12.0,93.99999999999999,16.34," || 12 || 12 || "
8670.0,15.406560595710506,12.647236807419194,12.0,12.0,94.3125,17.16," || 12 || 12 || "
8740.0,15.992250413895485,13.64457953071738,12.0,12.0,94.75,21.08," || 12 || 12 || "
8876.0,15.665094126626123,12.810062275046818,12.0,12.0,93.875,16.52," || 12 || 12 || "
8930.0,15.395353600828276,11.510659574016868,12.0,12.0,93.37500000000001,7.41," || 12 || 12 || "
8978.0,15.740505335951692,10.865718942540886,12.0,12.0,93.06250000000001,18.18," || 12 || 12 || "
9027.0,15.579176205120277,11.300666891244202,12.0,12.0,92.75,15.56," || 12 || 12 || "
9077.0,15.365934150392087,12.082962882140892,12.0,12.0,93.625,9.1," || 12 || 12 || "
9135.0,15.784994116608154,13.007731118346879,12.0,12.0,95.56249999999999,17.63," || 12 || 12 || "
9207.0,15.22459635598118,11.803239772265576,12.0,12.0,96.74999999999997,17.81," || 12 || 12 || "
9280.0,15.839795080453502,10.775949450086614,12.0,12.0,97.12499999999997,18.71," || 12 || 12 || "
9417.0,15.431506134862476,11.832606570284526,12.0,12.0,97.12499999999997,16.4," || 12 || 12 || "
9484.0,14.989429426449263,13.463374915014136,12.0,12.0,97.87499999999996,9.36," || 12 || 12 || "
9536.0,15.55480582436763,14.38584124348171,12.0,12.0,97.87499999999996,20.36," || 12 || 12 || "
9580.0,15.91712995402498,15.172046014739426,12.0,12.0,97.62499999999996,19.32," || 12 || 12 || "
9643.0,15.565646822111802,14.333865425859086,12.0,12.0,97.06249999999997,21.11," || 12 || 12 || "
9702.0,15.171742547782614,13.31527773211567,12.0,12.0,96.87499999999999,15.4," || 12 || 12 || "
9773.0,14.6368461871574,12.311120870824151,12.0,12.0,96.81249999999997,17.61," || 12 || 12 || "
9839.0,13.937121321211869,11.149867098819815,12.0,12.0,96.18749999999997,16.02," || 12 || 12 || "
9975.0,15.317141429853542,9.724317590619144,12.0,12.0,95.24999999999997,20.54," || 12 || 12 || "
10038.0,14.876653851945424,10.84511301818867,12.0,12.0,94.93749999999999,16.53," || 12 || 12 || "
